3D,ASK-300-MartHQ,20121031-01,46size,HangFU@ffs
0,0,0,1,2,3
0,0,7,3,4,17
0,0,15,4,5,32
0,0,23,4,6,49
0,0,31,3,7,65
0,0,39,4,8,79
0,0,47,3,10,91
0,0,55,4,12,102
0,0,63,2,13,113
0,0,71,5,13,126
0,0,79,4,13,139
0,0,87,6,13,153
0,0,95,4,14,166
0,0,103,7,15,178
0,0,111,5,16,190
0,0,119,6,19,199
0,0,127,12,21,208
0,0,135,13,23,215
0,0,143,20,26,220
0,0,151,25,31,224
0,0,159,30,33,227
0,0,167,36,35,230
0,0,175,40,37,232
0,0,183,45,40,234
0,0,191,49,43,236
0,0,199,49,44,239
0,0,207,50,43,242
0,0,215,54,43,244
0,0,223,56,47,247
0,0,231,57,51,249
0,0,239,59,51,251
0,0,247,60,51,252
0,0,255,62,54,253
0,7,0,5,18,9
0,7,7,4,17,18
0,7,15,4,17,31
0,7,23,4,18,47
0,7,31,3,18,62
0,7,39,3,19,75
0,7,47,4,20,86
0,7,55,3,21,97
0,7,63,4,21,109
0,7,71,5,22,121
0,7,79,4,23,134
0,7,87,7,23,147
0,7,95,7,24,160
0,7,103,5,27,172
0,7,111,9,28,185
0,7,119,11,29,196
0,7,127,14,32,205
0,7,135,18,34,212
0,7,143,23,36,218
0,7,151,28,40,223
0,7,159,34,45,226
0,7,167,39,46,228
0,7,175,42,48,231
0,7,183,46,50,233
0,7,191,52,53,236
0,7,199,53,55,238
0,7,207,53,53,241
0,7,215,55,52,243
0,7,223,57,54,246
0,7,231,59,59,248
0,7,239,61,60,250
0,7,247,62,59,252
0,7,255,63,60,253
0,15,0,5,34,7
0,15,7,4,33,18
0,15,15,3,32,31
0,15,23,4,31,44
0,15,31,4,31,58
0,15,39,4,30,70
0,15,47,3,31,81
0,15,55,5,31,92
0,15,63,6,32,104
0,15,71,5,33,115
0,15,79,8,33,128
0,15,87,7,34,140
0,15,95,9,36,153
0,15,103,10,37,166
0,15,111,12,39,178
0,15,119,13,40,191
0,15,127,17,42,201
0,15,135,23,46,208
0,15,143,26,48,215
0,15,151,31,50,221
0,15,159,36,54,224
0,15,167,43,58,227
0,15,175,47,59,230
