3D,ASK-300-MartHQ,20121031-01,Soft3-Color3,46size,HangFU@ffs
0,0,0,1,3,4
0,0,7,4,6,23
0,0,15,6,7,42
0,0,23,6,8,61
0,0,31,4,10,78
0,0,39,6,11,91
0,0,47,4,14,102
0,0,55,6,17,111
0,0,63,3,18,121
0,0,71,7,18,133
0,0,79,6,18,144
0,0,87,8,18,155
0,0,95,6,19,166
0,0,103,10,21,176
0,0,111,7,22,185
0,0,119,8,26,193
0,0,127,17,29,201
0,0,135,18,31,208
0,0,143,27,35,213
0,0,151,34,41,218
0,0,159,40,44,221
0,0,167,47,46,224
0,0,175,52,48,227
0,0,183,57,52,229
0,0,191,61,55,232
0,0,199,61,56,235
0,0,207,63,55,239
0,0,215,67,55,241
0,0,223,69,59,245
0,0,231,70,64,248
0,0,239,72,64,250
0,0,247,73,64,251
0,0,255,75,67,252
0,7,0,7,25,13
0,7,7,6,23,25
0,7,15,6,23,41
0,7,23,6,25,59
0,7,31,4,25,75
0,7,39,4,26,87
0,7,47,6,27,97
0,7,55,4,29,107
0,7,63,6,29,118
0,7,71,7,30,128
0,7,79,6,31,139
0,7,87,10,31,150
0,7,95,10,33,161
0,7,103,7,36,171
0,7,111,13,38,181
0,7,119,15,39,190
0,7,127,19,42,198
0,7,135,25,45,205
0,7,143,31,47,211
0,7,151,38,52,217
0,7,159,45,57,220
0,7,167,51,58,222
0,7,175,54,60,226
0,7,183,58,63,228
0,7,191,65,66,232
0,7,199,66,68,234
0,7,207,66,66,238
0,7,215,68,65,240
0,7,223,70,67,244
0,7,231,72,72,246
0,7,239,74,73,249
0,7,247,75,72,251
0,7,255,76,73,252
0,15,0,7,45,10
0,15,7,6,44,25
0,15,15,4,42,41
0,15,23,6,41,56
0,15,31,6,41,71
0,15,39,6,40,82
0,15,47,4,41,93
0,15,55,7,41,103
0,15,63,8,42,113
0,15,71,7,44,123
0,15,79,11,44,134
0,15,87,10,45,145
0,15,95,13,47,155
0,15,103,14,48,166
0,15,111,17,51,176
0,15,119,18,52,186
0,15,127,23,54,195
0,15,135,31,58,201
0,15,143,35,60,208
0,15,151,41,63,214
0,15,159,47,67,218
0,15,167,55,71,221
0,15,175,59,72,224
0,15,183,60,73,227
0,15,191,65,75,230
0,15,199,70,78,233
0,15,207,70,78,236
0,15,215,70,76,240
0,15,223,72,76,243
0,15,231,73,79,245
0,15,239,77,82,248
0,15,247,78,81,250
0,15,255,78,81,251
0,23,0,10,60,13
0,23,7,7,60,26
0,23,15,6,59,39
0,23,23,7,57,54
0,23,31,7,56,67
0,23,39,6,55,79
0,23,47,8,55,88
0,23,55,10,55,98
0,23,63,10,55,108
0,23,71,13,56,118
0,23,79,14,56,128
0,23,87,15,58,139
0,23,95,17,58,150
0,23,103,18,60,161
0,23,111,17,61,171
0,23,119,25,64,180
0,23,127,27,67,189
0,23,135,34,69,198
0,23,143,40,72,205
0,23,151,44,75,212
0,23,159,49,78,217
0,23,167,57,80,220
0,23,175,66,82,223
0,23,183,68,85,226
0,23,191,68,85,229
0,23,199,72,85,233
0,23,207,73,88,235
0,23,215,74,90,239
0,23,223,75,87,241
0,23,231,76,87,244
0,23,239,77,89,248
0,23,247,81,93,249
0,23,255,81,92,250
0,31,0,11,77,13
0,31,7,8,76,23
0,31,15,8,74,35
0,31,23,10,72,49
0,31,31,11,70,63
0,31,39,7,69,74
0,31,47,11,68,84
0,31,55,13,67,94
0,31,63,13,68,103
0,31,71,13,68,113
0,31,79,18,68,123
0,31,87,18,69,133
0,31,95,22,69,144
0,31,103,18,71,154
0,31,111,23,72,165
0,31,119,21,73,176
0,31,127,31,75,184
0,31,135,38,77,194
0,31,143,44,80,202
0,31,151,49,82,208
0,31,159,57,85,214
0,31,167,64,89,218
0,31,175,67,91,222
0,31,183,71,93,226
0,31,191,72,94,229
0,31,199,74,94,232
0,31,207,75,95,235
0,31,215,76,97,238
0,31,223,79,99,241
0,31,231,81,98,244
0,31,239,80,97,246
0,31,247,81,99,249
0,31,255,85,102,250
0,39,0,13,91,13
0,39,7,14,89,21
0,39,15,15,86,33
0,39,23,15,83,47
0,39,31,13,81,59
0,39,39,15,80,71
0,39,47,17,79,81
0,39,55,17,79,90
0,39,63,18,78,99
0,39,71,19,78,109
0,39,79,21,79,119
0,39,87,23,79,128
0,39,95,25,79,139
0,39,103,29,80,149
0,39,111,31,81,159
0,39,119,34,81,169
0,39,127,38,82,178
0,39,135,42,85,188
0,39,143,47,87,196
0,39,151,55,89,204
0,39,159,60,93,210
0,39,167,66,94,217
0,39,175,69,96,221
0,39,183,72,98,224
0,39,191,73,99,229
0,39,199,74,101,233
0,39,207,80,103,235
0,39,215,80,103,238
0,39,223,80,103,241
0,39,231,82,105,244
0,39,239,86,106,246
0,39,247,85,105,249
0,39,255,87,106,250
0,47,0,27,101,10
0,47,7,23,101,21
0,47,15,21,98,33
0,47,23,19,94,45
0,47,31,21,93,56
0,47,39,22,91,67
0,47,47,22,89,77
0,47,55,25,88,86
0,47,63,25,88,95
0,47,71,26,88,105
0,47,79,29,88,114
0,47,87,27,88,124
0,47,95,30,88,134
0,47,103,33,88,144
0,47,111,38,88,154
0,47,119,39,88,163
0,47,127,42,89,173
0,47,135,46,91,183
0,47,143,49,93,192
0,47,151,52,94,202
0,47,159,58,96,209
0,47,167,66,99,214
0,47,175,71,101,220
0,47,183,73,102,226
0,47,191,76,103,229
0,47,199,77,104,233
0,47,207,79,105,235
0,47,215,83,107,239
0,47,223,86,108,241
0,47,231,85,108,244
0,47,239,88,109,246
0,47,247,91,111,249
0,47,255,92,111,250
0,55,0,28,113,13
0,55,7,28,110,21
0,55,15,29,109,30
0,55,23,27,105,44
0,55,31,27,103,54
0,55,39,27,101,65
0,55,47,29,99,74
0,55,55,31,98,83
0,55,63,30,97,93
0,55,71,35,97,102
0,55,79,36,96,111
0,55,87,39,96,120
0,55,95,39,96,130
0,55,103,41,96,139
0,55,111,40,96,149
0,55,119,42,95,159
0,55,127,47,96,168
0,55,135,48,96,179
0,55,143,51,97,190
0,55,151,55,99,198
0,55,159,60,101,208
0,55,167,68,102,214
0,55,175,74,103,220
0,55,183,80,105,224
0,55,191,80,106,229
0,55,199,82,108,233
0,55,207,85,108,236
0,55,215,86,108,240
0,55,223,89,109,243
0,55,231,90,110,245
0,55,239,92,111,248
0,55,247,93,111,249
0,55,255,94,112,250
0,63,0,36,123,10
0,63,7,34,121,19
0,63,15,33,119,31
0,63,23,31,116,41
0,63,31,34,113,52
0,63,39,35,111,63
0,63,47,36,109,72
0,63,55,38,108,81
0,63,63,40,107,90
0,63,71,40,106,98
0,63,79,45,105,107
0,63,87,44,104,117
0,63,95,41,104,126
0,63,103,44,103,135
0,63,111,46,103,145
0,63,119,48,103,154
0,63,127,51,103,164
0,63,135,54,103,173
0,63,143,57,103,183
0,63,151,63,103,193
0,63,159,67,105,202
0,63,167,71,106,211
0,63,175,77,107,219
0,63,183,81,108,224
0,63,191,84,110,230
0,63,199,86,111,234
0,63,207,88,111,238
0,63,215,88,111,240
0,63,223,91,111,244
0,63,231,93,111,246
0,63,239,93,111,248
0,63,247,94,112,250
0,63,255,97,113,251
0,71,0,44,131,13
0,71,7,42,131,21
0,71,15,41,128,30
0,71,23,40,126,41
0,71,31,39,123,52
0,71,39,40,121,60
0,71,47,42,119,70
0,71,55,45,118,79
0,71,63,47,116,88
0,71,71,49,115,96
0,71,79,52,114,104
0,71,87,47,113,113
0,71,95,52,112,122
0,71,103,55,112,131
0,71,111,55,111,140
0,71,119,56,111,150
0,71,127,56,111,158
0,71,135,56,110,168
0,71,143,58,110,179
0,71,151,58,110,189
0,71,159,55,110,202
0,71,167,68,111,208
0,71,175,77,111,217
0,71,183,80,112,223
0,71,191,81,113,229
0,71,199,83,113,234
0,71,207,88,114,238
0,71,215,93,115,241
0,71,223,93,114,244
0,71,231,94,114,246
0,71,239,97,113,249
0,71,247,97,113,250
0,71,255,98,113,251
0,79,0,50,140,14
0,79,7,50,137,22
0,79,15,49,136,31
0,79,23,48,134,41
0,79,31,47,133,52
0,79,39,48,130,60
0,79,47,48,128,69
0,79,55,51,126,78
0,79,63,53,126,85
0,79,71,55,124,94
0,79,79,57,123,103
0,79,87,59,122,111
0,79,95,58,121,119
0,79,103,60,120,127
0,79,111,61,119,136
0,79,119,61,119,145
0,79,127,61,118,154
0,79,135,63,117,163
0,79,143,65,117,173
0,79,151,67,116,183
0,79,159,69,116,193
0,79,167,75,116,204
0,79,175,78,116,212
0,79,183,82,117,221
0,79,191,87,118,227
0,79,199,88,118,233
0,79,207,93,119,236
0,79,215,94,119,240
0,79,223,97,119,244
0,79,231,99,119,246
0,79,239,98,118,249
0,79,247,102,117,250
0,79,255,103,115,252
0,87,0,55,146,14
0,87,7,54,146,22
0,87,15,54,144,31
0,87,23,54,143,41
0,87,31,54,142,51
0,87,39,55,139,60
0,87,47,56,138,69
0,87,55,58,136,77
0,87,63,58,134,84
0,87,71,59,133,92
0,87,79,63,132,100
0,87,87,63,131,108
0,87,95,63,130,116
0,87,103,68,129,124
0,87,111,68,128,133
0,87,119,67,126,140
0,87,127,66,126,149
0,87,135,67,125,158
0,87,143,69,124,167
0,87,151,70,123,178
0,87,159,73,123,188
0,87,167,76,122,198
0,87,175,81,122,209
0,87,183,83,122,217
0,87,191,87,122,226
0,87,199,92,122,232
0,87,207,94,122,236
0,87,215,97,122,240
0,87,223,99,122,244
0,87,231,101,122,248
0,87,239,102,121,250
0,87,247,103,120,251
0,87,255,103,119,252
0,95,0,57,154,17
0,95,7,55,154,23
0,95,15,56,153,31
0,95,23,58,150,41
0,95,31,59,149,51
0,95,39,59,148,60
0,95,47,61,146,69
0,95,55,65,145,77
0,95,63,66,143,83
0,95,71,67,141,91
0,95,79,66,140,98
0,95,87,69,139,106
0,95,95,68,138,113
0,95,103,70,137,121
0,95,111,72,136,129
